id,text,aspects,sentence
1654,"tried simple dish of spinach ravioli in light oil and garlic sauce , but it actually faired better nyc italian joint ve tried similar dish at .","['similar dish', 'better nyc italian joint', 'light sauce', 'spinach ravioli', 'italian joint', 'nyc joint', 'better joint', 'simple dish']","tried simple dish of spinach ravioli in light oil and garlic sauce , but it actually faired better nyc italian joint ve tried similar dish at ."
1655,worst excuse japanese food ve ever encountered .,['japanese food'],worst excuse japanese food ve ever encountered .
1656,million better place to go in city .,"['million better place', 'better place']",million better place to go in city .
1657,"if celebrity make sweat , in ride , but if like around part ll yawn wonder whats hype .",[],"if celebrity make sweat , in ride , but if like around part ll yawn wonder whats hype ."
1658,okay mind oily part cause cooked way but it way bland .,"['cooked way', 'okay mind', 'oily part']",okay mind oily part cause cooked way but it way bland .
1659,ordered chicken teriyaki dish found chicken extremely dry .,"['chicken dish', 'teriyaki dish', 'chicken teriyaki dish']",ordered chicken teriyaki dish found chicken extremely dry .
1660,love it .,[],love it .
1661,if want something really different try jekyll hyde .,['jekyll hyde'],if want something really different try jekyll hyde .
1662,"we reservation at pm , but not seated pm .","['seated pm', 'not seated pm']","we reservation at pm , but not seated pm ."
1663,we pam special fried fish it amazing .,"['special fried fish', 'fried fish', 'special fish']",we pam special fried fish it amazing .
1664,located in greenewich village .,['greenewich village'],located in greenewich village .
1665,is no excuse lousy service !,"['lousy service', 'no excuse lousy service']",is no excuse lousy service !
1666,three strike is .,['three strike'],three strike is .
1667,we bring in party of ten or so every week .,[],we bring in party of ten or so every week .
1668,my boyfriend new england chowder it good but think award go to lobster bisque .,"['lobster bisque', 'new england chowder', 'my boyfriend', 'england chowder']",my boyfriend new england chowder it good but think award go to lobster bisque .
1669,"so , little inconsistency but either way , pizza really good .",['little inconsistency'],"so , little inconsistency but either way , pizza really good ."
1670,"overall is expensive sushi favorite , but everything delicious .","['expensive sushi favorite', 'expensive favorite', 'sushi favorite']","overall is expensive sushi favorite , but everything delicious ."
1671,we would return to !,[],we would return to !
1672,not enough wine by the glass either .,"['not enough wine', 'enough wine', 'the glass']",not enough wine by the glass either .
1673,duck breast special on my last visit it incredible .,"['last visit', 'duck breast', 'my last visit', 'special breast']",duck breast special on my last visit it incredible .
1674,must say it little pricey food it not a spectacular a view .,"['spectacular view', 'little food', 'pricey food', 'little pricey food']",must say it little pricey food it not a spectacular a view .
1675,innovator of french indian fusion do great job of making dish a interesting a possible still accessible .,"['french fusion', 'french indian fusion', 'indian fusion', 'great job']",innovator of french indian fusion do great job of making dish a interesting a possible still accessible .
1676,"take seat bar back half of , saw woman get nudged time sitting .","['nudged time', 'seat bar']","take seat bar back half of , saw woman get nudged time sitting ."
1677,no gimmick food speaks in freshness preparation .,"['gimmick food', 'no gimmick food', 'freshness preparation']",no gimmick food speaks in freshness preparation .
1678,"we worried we would trouble getting in , but somehow managed to short wait .",[],"we worried we would trouble getting in , but somehow managed to short wait ."
1679,my wife fried shrimp huge loved it .,"['shrimp huge', 'my wife']",my wife fried shrimp huge loved it .
1680,"everything good , eater .","['everything good , eater']","everything good , eater ."
1681,one not go to lucky strike food .,"['lucky strike food', 'strike food', 'lucky food']",one not go to lucky strike food .
1682,service is awful last time do mean last time we told needed table so we would to leave .,"['last time', 'needed table']",service is awful last time do mean last time we told needed table so we would to leave .
1683,we could get an appetizer cheese fondue .,"['appetizer fondue', 'an appetizer cheese fondue', 'cheese fondue']",we could get an appetizer cheese fondue .
1684,"to me it exemplifies soho , cute , artsy , interesting .",[],"to me it exemplifies soho , cute , artsy , interesting ."
1685,"try everything matter , it is good .",[],"try everything matter , it is good ."
1686,time we waited well half hour table even though we reservation .,"['half hour', 'hour table', 'well half hour table']",time we waited well half hour table even though we reservation .
1687,happy to be regular at would warmly recommend it to anyone .,[],happy to be regular at would warmly recommend it to anyone .
1688,ve eating at taj mahal twenty year found to be excellent of indian eatery on block of indian restaurant .,"['indian eatery', 'indian restaurant']",ve eating at taj mahal twenty year found to be excellent of indian eatery on block of indian restaurant .
1689,"night without reservation , we to wait at bar little , but manager so nice made wait great experience .","['wait great experience', 'great experience', 'wait experience', 'so nice']","night without reservation , we to wait at bar little , but manager so nice made wait great experience ."
1690,try green curry ! !,['green curry'],try green curry ! !
1691,we scallop a an appetizer delicious sauce wonderful .,"['delicious sauce', 'appetizer sauce']",we scallop a an appetizer delicious sauce wonderful .
1692,we also seated promptly at time of reservation service quick professional .,['reservation service'],we also seated promptly at time of reservation service quick professional .
1693,"rarely to wait seat curry masaman , green , red full of flavor come super spicy if ask it .",['seat curry masaman'],"rarely to wait seat curry masaman , green , red full of flavor come super spicy if ask it ."
1694,food sastifying .,['food sastifying'],food sastifying .
1695,highly recommend to anyone to give try .,[],highly recommend to anyone to give try .
1696,highly recommend visiting dinner drink !,"['visiting drink', 'visiting dinner drink', 'dinner drink']",highly recommend visiting dinner drink !
1697,bar is well stocked interesting beer well priced wine .,"['stocked wine', 'interesting beer', 'priced wine']",bar is well stocked interesting beer well priced wine .
1698,agree .,[],agree .
1699,"last memorial day , tried to make reservation but told closed weekend interesting , but ... .","['closed weekend', 'last day', 'memorial day']","last memorial day , tried to make reservation but told closed weekend interesting , but ... ."
1700,food good .,['good food'],food good .
1701,"great wine selection , gigondas is worth price , house champagne is great value .","['wine selection', 'great value', 'great selection', 'house champagne']","great wine selection , gigondas is worth price , house champagne is great value ."
1702,"at night , but it hard to hear conversation everyone else competing luxury music playing in background is also voluminous .",['luxury music'],"at night , but it hard to hear conversation everyone else competing luxury music playing in background is also voluminous ."
1703,it thai .,[],it thai .
1704,enjoyed everything ever gotten fish is so fresh always prepared in great way .,"['gotten fish', 'ever gotten fish', 'great way']",enjoyed everything ever gotten fish is so fresh always prepared in great way .
1705,particularly love yellowfun tuna mussel selection .,"['yellowfun tuna', 'mussel selection', 'tuna selection', 'yellowfun tuna mussel selection']",particularly love yellowfun tuna mussel selection .
1706,love to visit murray my bagel fix .,"['bagel fix', 'my bagel fix']",love to visit murray my bagel fix .
1707,"we made early dinner reservation thoroughly impressed , reminds me of my grandfather , old school italian scenery lot of fun stuff to admire .","['italian lot', 'early dinner reservation', 'dinner reservation', 'old school', 'scenery lot', 'fun stuff', 'my grandfather', 'early reservation']","we made early dinner reservation thoroughly impressed , reminds me of my grandfather , old school italian scenery lot of fun stuff to admire ."
1708,recommended .,[],recommended .
1709,place nice calm .,['nice calm'],place nice calm .
1710,cheese plate is varied delight great bargain at .,"['cheese plate', 'great bargain', 'varied delight great bargain', 'varied bargain']",cheese plate is varied delight great bargain at .
1711,could drank glass of water still parched so watch .,[],could drank glass of water still parched so watch .
1712,"we sat , we got great fast service .","['fast service', 'great service', 'great fast service']","we sat , we got great fast service ."
1713,"of server attentive , friendly quite attractive .",[],"of server attentive , friendly quite attractive ."
1714,think local rate so high .,['local rate'],think local rate so high .
1715,service is average .,[],service is average .
1716,but ve done really nice job of offering typical pizzeria faves plus terrific special like godmother pizza sort of traditional flat pizza with an olive oil brushed crust and less tomato sauce than usual .,"['tomato sauce', 'really nice job', 'nice job', 'typical faves', 'typical pizzeria faves', 'pizzeria faves', 'flat pizza', 'traditional pizza', 'less sauce', 'less tomato sauce', 'traditional flat pizza', 'godmother pizza', 'brushed crust', 'olive oil']",but ve done really nice job of offering typical pizzeria faves plus terrific special like godmother pizza sort of traditional flat pizza with an olive oil brushed crust and less tomato sauce than usual .
1717,go girl ! !,[],go girl ! !
1718,"forgot sandwich , include plastic fork , include pita hummus platter .","['hummus platter', 'plastic fork', 'pita hummus platter', 'pita platter']","forgot sandwich , include plastic fork , include pita hummus platter ."
1719,"steak is good , fish is good sushi surprisingly great .",['good sushi'],"steak is good , fish is good sushi surprisingly great ."
1720,"asian fusion , many place downtown .","['asian fusion', 'many place downtown', 'place downtown', 'many downtown']","asian fusion , many place downtown ."
1721,old school meet new world .,"['old school', 'new world']",old school meet new world .
1722,am reluctant to write would not want my jem of pizza to become overcrowded .,['my jem'],am reluctant to write would not want my jem of pizza to become overcrowded .
1723,"service poor , poorly lit , staff not attentive would rather eaten at mcdonald .",['poor service'],"service poor , poorly lit , staff not attentive would rather eaten at mcdonald ."
1724,is probably one of my new favorite place .,"['new place', 'favorite place', 'my new favorite place']",is probably one of my new favorite place .
1725,"number , alot of work to do in order to truly earn so called reputation .","['so called reputation', 'called reputation']","number , alot of work to do in order to truly earn so called reputation ."
1726,"family we would go to celebrate an occassion , do prefer smaller , quiter restaurant .","['smaller restaurant', 'smaller , quiter restaurant', 'quiter restaurant', 'an occassion']","family we would go to celebrate an occassion , do prefer smaller , quiter restaurant ."
1727,one on east side is much better one on west side .,"['east side', 'west side']",one on east side is much better one on west side .
1728,know .,[],know .
1729,"my gf still choose to eat lot of diverse cocktail , chill decor , decent sushi .","['decent sushi', 'my gf', 'diverse cocktail', 'chill decor']","my gf still choose to eat lot of diverse cocktail , chill decor , decent sushi ."
1730,we ended dinner surprisingly light flaky apple tarte tatin .,"['apple tarte tatin', 'flaky apple']",we ended dinner surprisingly light flaky apple tarte tatin .
1731,buffet nice selection .,"['nice selection', 'buffet nice selection']",buffet nice selection .
1732,waitstaff friendly .,[],waitstaff friendly .
1733,is great .,[],is great .
1734,"step cosette , re miraculously in small , beaten path parisian bistro .","['beaten path', 'step cosette', 'parisian bistro', 'small bistro']","step cosette , re miraculously in small , beaten path parisian bistro ."
1735,ve several time am totally smitten .,['several time'],ve several time am totally smitten .
1736,terrible experience .,['terrible experience'],terrible experience .
1737,love .,[],love .
1738,service slow to wait to order get food although not crowded .,['slow service'],service slow to wait to order get food although not crowded .
1739,to return to try chocolate !,[],to return to try chocolate !
1740,"it . regular slice . slice mushroom , not mushroom .","['not mushroom', 'regular slice', 'slice mushroom']","it . regular slice . slice mushroom , not mushroom ."
1741,is real gallery of star visited .,['real gallery'],is real gallery of star visited .
1742,"food average , service pathetic , no ambience at .","['no ambience', 'food average']","food average , service pathetic , no ambience at ."
1743,really enjoyed show put on by actor .,"['really enjoyed show', 'enjoyed show']",really enjoyed show put on by actor .
1744,first time in new york we to try new york bagel .,"['first time', 'new york bagel', 'new york']",first time in new york we to try new york bagel .
1745,service efficient courteous .,['courteous service'],service efficient courteous .
1746,one is definintely my least favorite .,[],one is definintely my least favorite .
1747,urged by friend month to check mermaid inn .,['friend month'],urged by friend month to check mermaid inn .
1748,miso soup lacked flavor fish unfortunately not a well prepared a in past .,"['flavor fish', 'miso soup']",miso soup lacked flavor fish unfortunately not a well prepared a in past .
1749,"everytime my husband go , we never disappointed .",['my husband'],"everytime my husband go , we never disappointed ."
1750,best bagel ve .,['best bagel'],best bagel ve .
1751,we not disappointed .,[],we not disappointed .
1752,ve read of preview review people either not new yorkers or appreciation ambience food .,"['appreciation ambience', 'new yorkers', 'appreciation ambience food', 'ambience food', 'either not new yorkers']",ve read of preview review people either not new yorkers or appreciation ambience food .
1753,"toon recently redone , so it attractive space .","['attractive space', 'it attractive space']","toon recently redone , so it attractive space ."
1754,"filet , side , an appetizer drink .","['appetizer drink', 'an appetizer drink']","filet , side , an appetizer drink ."
1755,"price nothing special , portion huge .",[],"price nothing special , portion huge ."
1756,"nice quiet location to go eat good meal , relax , be able to talk good time .","['nice quiet location', 'good meal', 'nice location', 'good time', 'quiet location']","nice quiet location to go eat good meal , relax , be able to talk good time ."
1757,"we arrived dinner expecting to be impressed by an impressive past but , it past !","['an impressive past', 'impressive past']","we arrived dinner expecting to be impressed by an impressive past but , it past !"
1758,"however , think is good hang spot .","['hang spot', 'good spot', 'good hang spot']","however , think is good hang spot ."
1759,"menu is prix fixe , so be prepared to spend at least per person , but it is well worth itsuperb food .","['well worth itsuperb food', 'worth food', 'itsuperb food', 'prix fixe']","menu is prix fixe , so be prepared to spend at least per person , but it is well worth itsuperb food ."
1760,"rao is good , but it nothing special .",[],"rao is good , but it nothing special ."
1761,wine list is extensive impressive .,['wine list'],wine list is extensive impressive .
1762,we wonderful waitress .,['wonderful waitress'],we wonderful waitress .
1763,"staff at little bistro is friendly , never experienced incompetency .","['little bistro', ', never experienced incompetency', 'experienced incompetency']","staff at little bistro is friendly , never experienced incompetency ."
1764,quail fantastic unique pasta full of flavor .,"['unique pasta', 'fantastic unique pasta', 'fantastic pasta', 'full pasta']",quail fantastic unique pasta full of flavor .
1765,"we left at pm , it packed noisy .",[],"we left at pm , it packed noisy ."
1766,"okay , so never write but seem to fair balance of positive to negative review concerning green bo it time to speak up live in chinatown .","['negative review', 'fair balance']","okay , so never write but seem to fair balance of positive to negative review concerning green bo it time to speak up live in chinatown ."
1767,zucchini mashed potato blend of garlic butter simply melt in mouth .,"['garlic butter', 'zucchini mashed potato blend', 'potato blend']",zucchini mashed potato blend of garlic butter simply melt in mouth .
1768,staff is courteous friendly .,[],staff is courteous friendly .
1769,never fails to please .,[],never fails to please .
1770,decor is nice though service be spotty .,[],decor is nice though service be spotty .
1771,"aside rushed service , we impressed food drink .","['food drink', 'rushed service']","aside rushed service , we impressed food drink ."
1772,absolutely visit .,[],absolutely visit .
1773,make sure spicy scallop roll .. .,"['scallop roll', 'sure roll', 'sure spicy scallop roll', 'spicy roll']",make sure spicy scallop roll .. .
1774,would highly recommend to anyone is looking fine indian dining experience is definitely value dollar .,"['indian experience', 'value dollar', 'fine experience', 'fine indian dining experience', 'dining experience']",would highly recommend to anyone is looking fine indian dining experience is definitely value dollar .
1775,even it pub atmosphere great to my kid !,"['my kid', 'even it', 'great atmosphere']",even it pub atmosphere great to my kid !
1776,big draw is sushi . !,['big draw'],big draw is sushi . !
1777,consider best grand sichuan in nyc .,['best grand sichuan'],consider best grand sichuan in nyc .
1778,we spent definetly come back my friend ! !,[],we spent definetly come back my friend ! !
1779,went to village last night my birthday .,['last night'],went to village last night my birthday .
1780,"of worker ignore me talk to female customer , time , ve skipped my order .","['female customer', 'my order']","of worker ignore me talk to female customer , time , ve skipped my order ."
1781,special usually quite good .,[],special usually quite good .
1782,ve best dessert mixed drink a well a snack food .,"['best drink', 'mixed drink', 'snack food', 'a snack food']",ve best dessert mixed drink a well a snack food .
1783,try chocolate mud cake warmed scoop of dulce de leche gelato .,"['dulce de leche gelato', 'chocolate cake', 'warmed scoop', 'mud cake', 'dulce de leche']",try chocolate mud cake warmed scoop of dulce de leche gelato .
1784,good bad .,[],good bad .
1785,really cool stauff inside .,['really cool stauff'],really cool stauff inside .
1786,"new still feature much of classical furniture made tiffin so attractive , menu overhauled .",['classical furniture'],"new still feature much of classical furniture made tiffin so attractive , menu overhauled ."
1787,best burger in village .,['best burger'],best burger in village .
1788,we visited orsay ny week tried menu .,['ny week'],we visited orsay ny week tried menu .
1789,would gotten cole slaw knish if my stomach space .,"['stomach space', 'cole slaw knish']",would gotten cole slaw knish if my stomach space .
1790,"came week , save much , but it still great .",[],"came week , save much , but it still great ."
1791,would never go back .,[],would never go back .
1792,three of u arrived dinner on week night without reservation .,['week night'],three of u arrived dinner on week night without reservation .
1793,"blond wood decor is soothing , premium sake is excellent service is great .","['excellent service', 'blond decor', 'premium sake', 'wood decor', 'blond wood decor']","blond wood decor is soothing , premium sake is excellent service is great ."
1794,is usually wait but it is well worth it .,[],is usually wait but it is well worth it .
1795,"be careful , say spicy , mean it !",[],"be careful , say spicy , mean it !"
1796,money could easily be better spent elsewhere anywhere .,[],money could easily be better spent elsewhere anywhere .
1797,"drawback toast bagel , make egg bagel .","['drawback toast bagel', 'toast bagel', 'egg bagel', 'drawback toast']","drawback toast bagel , make egg bagel ."
1798,a always we great glass of wine we waited .,['great glass'],a always we great glass of wine we waited .
1799,bring appetite .,[],bring appetite .
1800,"wait staff is pleasant , fun , part gorgeous in wonderful aesthetic beautification way , not in way .","['pleasant part', 'beautification way', 'gorgeous part', 'wonderful beautification', 'wait staff', 'aesthetic beautification', 'wonderful aesthetic beautification way']","wait staff is pleasant , fun , part gorgeous in wonderful aesthetic beautification way , not in way ."
1801,"of course atmosphere is lacking , but do expect hour bagel anyways ?",['hour bagel'],"of course atmosphere is lacking , but do expect hour bagel anyways ?"
1802,service good warm .,['good warm'],service good warm .
1803,dinner chicken tikka masala garlic naan .,"['masala garlic', 'dinner chicken', 'masala garlic naan', 'garlic naan']",dinner chicken tikka masala garlic naan .
1804,cornelia street look like broadway set west side story inside of po is so cool quaint really top setting romantic dinner in nyc .,"['west side story', 'cool quaint', 'romantic dinner', 'west side', 'so cool quaint', 'cornelia street', 'side story']",cornelia street look like broadway set west side story inside of po is so cool quaint really top setting romantic dinner in nyc .
1805,"like others said , expect to make nite romantic yes , busy may require to wait .",[],"like others said , expect to make nite romantic yes , busy may require to wait ."
1806,"seriously , kick as .",[],"seriously , kick as ."
1807,food good view of new york city skiline terrific even on foggy rainy day like of went .,"['foggy day', 'rainy day', 'food good view', 'foggy rainy day', 'good view']",food good view of new york city skiline terrific even on foggy rainy day like of went .
1808,"also , it is so thin , it get cold quickly not filling .",[],"also , it is so thin , it get cold quickly not filling ."
1809,food is nothing like menu description .,['menu description'],food is nothing like menu description .
1810,try pad se ew or chicken with cashew nut memorable repeatable experience .,"['memorable repeatable experience', 'pad se ew', 'repeatable experience', 'memorable experience']",try pad se ew or chicken with cashew nut memorable repeatable experience .
1811,it o.k . pizza .,['it o.k . pizza'],it o.k . pizza .
1812,loved it would highly recommend .,[],loved it would highly recommend .
1813,ve twice .,[],ve twice .
1814,"food is decent at best , ambience , well , it matter of opinion , may consider it to be sweet thing , thought it annoying .",['sweet thing'],"food is decent at best , ambience , well , it matter of opinion , may consider it to be sweet thing , thought it annoying ."
1815,best to bring kid or friend want to do something different .,[],best to bring kid or friend want to do something different .
1816,"service bit slow , but friendly .",[],"service bit slow , but friendly ."
1817,"however , do not understand extraordinary hype .",['extraordinary hype'],"however , do not understand extraordinary hype ."
1818,it small cute .,['small cute'],it small cute .
1819,be returning .,[],be returning .
1820,"leon is an east village gem casual but hip , well prepared basic french bistro fare , good special , warm lively atmosphere .","['special atmosphere', 'french bistro', 'gem casual', 'basic bistro', 'prepared fare', 'east gem', 'good atmosphere', 'lively atmosphere', 'village gem', 'warm atmosphere', 'bistro fare']","leon is an east village gem casual but hip , well prepared basic french bistro fare , good special , warm lively atmosphere ."
1821,food is average midtown sligtly better of heartland brewery in city .,['heartland brewery'],food is average midtown sligtly better of heartland brewery in city .
1822,thius is must anyone love shabu shabu .,['shabu shabu'],thius is must anyone love shabu shabu .
1823,food absolutely horrible !,['horrible food'],food absolutely horrible !
1824,food appear to be cooked on premisis but high turnover so pretty fresh .,['high turnover'],food appear to be cooked on premisis but high turnover so pretty fresh .
1825,dirty unkempt .,['dirty unkempt'],dirty unkempt .
1826,nice though .,[],nice though .
1827,warning may find it difficult to at japanese restaurant visit to mizu !,"['japanese visit', 'japanese restaurant visit', 'restaurant visit']",warning may find it difficult to at japanese restaurant visit to mizu !
1828,"similar to indian restaurant , use dinner special to attract customer at door .","['indian restaurant', 'special dinner']","similar to indian restaurant , use dinner special to attract customer at door ."
1829,it is small restuarant so go early it be nice quiet go late it be packed !,[],it is small restuarant so go early it be nice quiet go late it be packed !
1830,"people with cart of food understand speak english , job is to give delicious food point at .","['food point', 'delicious food point', 'delicious point']","people with cart of food understand speak english , job is to give delicious food point at ."
1831,"crackling calamari salad , is usually cheap disaster at many restaurant , is crispy lightly dressed .","['many restaurant', 'calamari salad', 'cheap disaster']","crackling calamari salad , is usually cheap disaster at many restaurant , is crispy lightly dressed ."
1832,"not greatest sushi place , but excellent . eat .","['sushi place', 'greatest place', 'not greatest sushi place']","not greatest sushi place , but excellent . eat ."
1833,"shockingly easy to throw group dinner simple contract , deposit to hold date entire nd fl mezz grp of .","['simple contract', 'group dinner', 'group dinner simple contract', 'fl mezz grp']","shockingly easy to throw group dinner simple contract , deposit to hold date entire nd fl mezz grp of ."
1834,thai ice tea amazingly smooth yummy !,"['thai ice', 'thai ice tea', 'ice tea', 'thai tea']",thai ice tea amazingly smooth yummy !
1835,we ve never problem staff but maybe we ve lucky ?,[],we ve never problem staff but maybe we ve lucky ?
1836,drink way priced .,[],drink way priced .
1837,main downside to is nazi like guy running it constantly complains noise level .,"['main downside', 'noise level']",main downside to is nazi like guy running it constantly complains noise level .
1838,like food came right it ordered .,[],like food came right it ordered .
1839,"but warning to use site be weary , be weary of recommendation .",[],"but warning to use site be weary , be weary of recommendation ."
1840,moderate price .,['moderate price'],moderate price .
1841,we great time at jekyll hyde pub last night .,"['jekyll hyde pub', 'great time', 'last night']",we great time at jekyll hyde pub last night .
1842,try it side by side no comparison .,['no comparison'],try it side by side no comparison .
1843,think ve best meal of my life at minnow .,"['best meal', 'my life']",think ve best meal of my life at minnow .
1844,my biggest complaint un tasty food although presented well .,"['biggest complaint', 'my biggest complaint', 'un tasty food']",my biggest complaint un tasty food although presented well .
1845,"tiny is a cozy a it get , certain parisian flair .","['parisian flair', 'certain flair', 'a cozy', 'certain parisian flair']","tiny is a cozy a it get , certain parisian flair ."
1846,so sorry rate better .,['sorry rate'],so sorry rate better .
1847,"importantly , food is excellent .",[],"importantly , food is excellent ."
1848,buon appetito !,['buon appetito'],buon appetito !
1849,"great roofdeck , nice group of somethings , but no music , kind of quiet .","['great roofdeck', 'quiet music', 'no music', 'nice group']","great roofdeck , nice group of somethings , but no music , kind of quiet ."
1850,"if we to move upper east side , we would genuinely miss .","['upper east side', 'upper side', 'east side']","if we to move upper east side , we would genuinely miss ."
1851,"best part of experience knowing manager bubbly , friendly young woman great smile truly cared we .","['great smile', 'young woman', 'manager bubbly', 'knowing manager', 'experience knowing manager bubbly', 'best part', 'friendly woman']","best part of experience knowing manager bubbly , friendly young woman great smile truly cared we ."
1852,"ok , of u growing up in village of nyc , we spoiled by plethora of restaurant , of stay open late .",[],"ok , of u growing up in village of nyc , we spoiled by plethora of restaurant , of stay open late ."
1853,"however , service a plain a sesame crusted salmon .","['crusted salmon', 'a sesame']","however , service a plain a sesame crusted salmon ."
1854,would highly recommend it .,[],would highly recommend it .
1855,it great to go quick lunch either alone or friend .,['quick lunch'],it great to go quick lunch either alone or friend .
1856,food mediocre at best but it horrible service made me vow never to go back .,"['food mediocre', 'it horrible service', 'horrible service']",food mediocre at best but it horrible service made me vow never to go back .
1857,lloovve .,[],lloovve .
1858,so of review accurate crowd noise .,"['review accurate crowd noise', 'crowd noise', 'accurate noise']",so of review accurate crowd noise .
1859,"get pay logic in mind , spice is great to grab cheap eats drink in beautiful setting .","['cheap eats', 'pay logic', 'beautiful setting']","get pay logic in mind , spice is great to grab cheap eats drink in beautiful setting ."
1860,"finally , raving went to check it one of my enthusiastic friend last saturday night let me tell cracked up to be .","['my enthusiastic friend', 'saturday night', 'enthusiastic friend', 'last night']","finally , raving went to check it one of my enthusiastic friend last saturday night let me tell cracked up to be ."
1861,"also , , chili rating to be authentic ...",['chili rating'],"also , , chili rating to be authentic ..."
1862,"service terrible , we to wait everything ask several of different people thing we allowed to be served .","['people thing', 'terrible service', 'different thing', 'different people thing']","service terrible , we to wait everything ask several of different people thing we allowed to be served ."
1863,went last thursday .,[],went last thursday .
1864,love everytime go .,['love everytime'],love everytime go .
1865,go eat at many different restaurant is one go try .,"['many restaurant', 'different restaurant', 'many different restaurant']",go eat at many different restaurant is one go try .
1866,"little crowded bit overpriced , atmosphere is filled energy beautiful people of course food surprising good !","['beautiful people', 'surprising good', 'energy beautiful people', 'crowded bit', 'food surprising good', 'little bit']","little crowded bit overpriced , atmosphere is filled energy beautiful people of course food surprising good !"
1867,"we ordered dessert drink , but no refill offered .","['no refill', 'dessert drink']","we ordered dessert drink , but no refill offered ."
1868,saul is best on smith street in brooklyn .,['smith street'],saul is best on smith street in brooklyn .
1869,waiter slow but sweet .,[],waiter slow but sweet .
1870,"time dinner , brunch twice lunch .","['twice lunch', 'time dinner']","time dinner , brunch twice lunch ."
1871,we went to ino valentine .,"['ino valentine', 'to ino valentine']",we went to ino valentine .
1872,"real kicker of menu , however , is beef cube or chicken with chili and lemon grass .","['beef cube', 'real kicker']","real kicker of menu , however , is beef cube or chicken with chili and lemon grass ."
1873,"it good , but not thought it would be .",[],"it good , but not thought it would be ."
1874,music is best among indian restaurant visited .,['indian restaurant'],music is best among indian restaurant visited .
1875,"bread lamb chop meal quite good , however .","['bread lamb chop meal', 'bread meal', 'good meal', 'chop meal']","bread lamb chop meal quite good , however ."
1876,"he always say , customer .",[],"he always say , customer ."
1877,rao best service atmosphere in nyc .,"['best atmosphere', 'rao best service atmosphere', 'service atmosphere']",rao best service atmosphere in nyc .
1878,instead ordered an ice cold beer to me work indian .,"['an ice cold beer', 'cold beer']",instead ordered an ice cold beer to me work indian .
1879,good date or friend .,['good date'],good date or friend .
1880,"never brought u complimentary noodle , ignored repeated request sugar , threw dish on table .","['repeated sugar', 'request sugar', 'complimentary noodle', 'repeated request sugar']","never brought u complimentary noodle , ignored repeated request sugar , threw dish on table ."
1881,one of best chicken tikka masala .,"['chicken tikka', 'tikka masala', 'best chicken tikka masala', 'best tikka']",one of best chicken tikka masala .
1882,"excellent dumpling served amid clean , chic decor .","['clean decor', 'chic decor', 'clean , chic decor', 'excellent dumpling']","excellent dumpling served amid clean , chic decor ."
1883,"kitchen however , is almost always slow .",[],"kitchen however , is almost always slow ."
1884,"corned beef pastrami excellent , much less fatty big tourist place around time square .","['tourist place', 'excellent place', 'corned pastrami', 'big place', 'beef pastrami']","corned beef pastrami excellent , much less fatty big tourist place around time square ."
1885,"cute place , nice wait staff but would never go .","['nice staff', 'nice wait staff', 'cute place', 'wait staff']","cute place , nice wait staff but would never go ."
1886,we good time .,['good time'],we good time .
1887,"also , hostess called me today to thank u coming mentioned hoped my girlfriend enjoyed birthday unexpected , but truly beyond thing to do ...",['my girlfriend'],"also , hostess called me today to thank u coming mentioned hoped my girlfriend enjoyed birthday unexpected , but truly beyond thing to do ..."
1888,people rude bit it new york !,['rude bit'],people rude bit it new york !
1889,we felt it worth it .,[],we felt it worth it .
1890,"plain slice is great if get topping , whole slice is topped , not sparsely sprinkled on like place .","['whole slice', 'plain slice']","plain slice is great if get topping , whole slice is topped , not sparsely sprinkled on like place ."
1891,service also horrible ambience is not great .,"['horrible ambience', 'service also horrible ambience']",service also horrible ambience is not great .
1892,"service is great , takeout is good .",[],"service is great , takeout is good ."
1893,"based on review on , it appears is overwhelmed pm .",['overwhelmed pm'],"based on review on , it appears is overwhelmed pm ."
1894,pizza is overpriced soggy .,[],pizza is overpriced soggy .
1895,"everything is excellent , menu is quite extensive , eat view on side of city .",[],"everything is excellent , menu is quite extensive , eat view on side of city ."
1896,"ll pay at least double at italian in city , still compare .",[],"ll pay at least double at italian in city , still compare ."
1897,"quality of food , little expensive .",['expensive quality'],"quality of food , little expensive ."
1898,came looking heard good thing .,['good thing'],came looking heard good thing .
1899,live on street is on .,[],live on street is on .
1900,horrible .,[],horrible .
1901,to fake fish tank ...,['fish tank'],to fake fish tank ...
1902,worth wait though .,[],worth wait though .
1903,ve never bad service fish is fresh delicious .,"['service fish', 'bad fish', 'never bad service fish']",ve never bad service fish is fresh delicious .
1904,"first time went , completely taken by live jazz band atmosphere , ordered lobster cobb salad .","['live jazz band atmosphere', 'band atmosphere', 'live band', 'first time', 'cobb salad', 'jazz band']","first time went , completely taken by live jazz band atmosphere , ordered lobster cobb salad ."
1905,we decided to eat in tea room small cute .,"['small cute', 'tea room']",we decided to eat in tea room small cute .
1906,an amazing meal experience !,"['amazing experience', 'meal experience', 'an amazing meal experience']",an amazing meal experience !
1907,unique apppetizers .,['unique apppetizers'],unique apppetizers .
1908,"staff always attentive kind , ve always amazed at ve handled various different group size come in .","['various different group size', 'attentive kind', 'various size', 'different size', 'group size', 'amazed kind']","staff always attentive kind , ve always amazed at ve handled various different group size come in ."
